trial,window,stride,label_mode,label_frac,val_mae,val_rmse,best_epoch,train_samples,val_samples
1,64,8,last,0.05,0.10405541956424713,0.1209820686136751,30,29888,3736
2,64,8,last,0.1,0.10098572820425034,0.11760166414175759,29,29888,3736
3,64,8,mean,0.05,0.10684514790773392,0.12481403673999583,28,29888,3736
4,64,8,mean,0.1,0.09932652115821838,0.11658482551261687,29,29888,3736
5,64,16,last,0.05,0.11194279044866562,0.13000328528627106,30,14944,1868
6,64,16,last,0.1,0.10443030297756195,0.12149204616306598,30,14944,1868
7,64,16,mean,0.05,0.11420251429080963,0.13220491696996156,30,14944,1868
8,64,16,mean,0.1,0.10418067127466202,0.12231139980624448,30,14944,1868
9,128,8,last,0.05,0.10214430093765259,0.1189162337802472,29,29760,3720
10,128,8,last,0.1,0.09734056890010834,0.11407838083783742,30,29760,3720
11,128,8,mean,0.05,0.10201365500688553,0.11919727307600131,30,29760,3720
12,128,8,mean,0.1,0.09696926176548004,0.11278249436001439,30,29760,3720
13,128,16,last,0.05,0.10757150501012802,0.12628709976223862,30,14880,1860
14,128,16,last,0.1,0.10834339261054993,0.12636006554841428,30,14880,1860
15,128,16,mean,0.05,0.10612385720014572,0.12490883125117538,29,14880,1860
16,128,16,mean,0.1,0.1021997332572937,0.11993019155933521,30,14880,1860
17,256,8,last,0.05,0.10790126025676727,0.12689528247950843,29,29504,3688
18,256,8,last,0.1,0.08882035315036774,0.10500672034345647,30,29504,3688
19,256,8,mean,0.05,0.09746460616588593,0.114561179486701,30,29504,3688
20,256,8,mean,0.1,0.09189806133508682,0.1089687038762854,30,29504,3688
21,256,16,last,0.05,0.10200449079275131,0.11991265957368492,29,14752,1844
22,256,16,last,0.1,0.09720630943775177,0.11428452855957509,30,14752,1844
23,256,16,mean,0.05,0.10731964558362961,0.12592791571720552,30,14752,1844
24,256,16,mean,0.1,0.09872640669345856,0.1169416272188413,30,14752,1844
